emp_id,department,role,band,gender,city,education,age,tenure_years,salary,performance,satisfaction,engagement,leaves_taken,trainings,promotions,attrition,exit_reason,hire_year,remote_pct,overtime_hrs,manager_rating,peer_rating,skip_meetings_pct,attrition_risk,risk_band,cost_to_replace,days_since_promo,target_achieved
EMP00000,Engineering,Director,L4,Male,Chennai,Master's,39,0.2,56700.0,3.5,4.2,3.6,18,7,1,0,Transfer,2022,25,21,4.0,4.3,0.11,0.476,Medium,87400.0,777,0.47
EMP00001,Operations,VP,L5,Non-Binary,Chennai,Bachelor's,23,3.0,75500.0,3.6,3.2,3.6,1,0,2,0,Transfer,2023,75,20,3.9,3.2,0.1,0.477,Medium,146500.0,422,0.8
EMP00002,Sales,Senior Analyst,L3,Female,Kolkata,Master's,26,0.3,73700.0,4.6,3.8,4.0,18,5,2,1,Contract End,2022,0,23,4.0,3.1,0.34,0.541,Medium,67600.0,1067,0.54
EMP00003,HR,Manager,L4,Male,Mumbai,Bachelor's,30,2.4,132300.0,3.4,4.1,3.3,29,6,3,0,Retirement,2017,75,13,3.5,2.8,0.2,0.389,Medium,246200.0,1112,0.58
EMP00004,Customer Success,Manager,L1,Male,Bangalore,Master's,24,6.3,73300.0,4.4,3.6,3.9,19,4,0,0,Resignation,2019,50,7,3.3,3.8,0.3,0.313,Low,79100.0,815,0.73
EMP00005,Marketing,VP,L6,Male,Bangalore,MBA,39,3.3,82100.0,4.3,3.1,2.6,17,4,3,0,Transfer,2017,100,11,4.5,4.0,0.34,0.453,Medium,124600.0,573,0.78
EMP00006,Sales,Analyst,L5,Male,Pune,Bachelor's,39,0.7,116900.0,4.3,4.2,4.4,23,3,0,0,Retirement,2016,0,16,4.3,4.0,0.27,0.39,Medium,119300.0,216,0.43
EMP00007,Engineering,VP,L3,Female,Mumbai,Master's,54,4.3,140500.0,2.9,2.7,2.6,6,7,0,1,Retirement,2023,25,19,4.3,4.7,0.3,0.604,Medium,176900.0,1412,0.35
EMP00008,Product,Analyst,L3,Male,Delhi,MBA,51,7.2,102900.0,4.1,3.8,3.5,10,7,0,0,Retirement,2022,75,3,3.9,4.1,0.39,0.29,Low,87600.0,366,0.59
EMP00009,Sales,VP,L6,Male,Pune,Bachelor's,51,4.9,98300.0,2.8,3.8,4.6,15,8,2,0,Transfer,2021,50,15,3.9,3.1,0.18,0.397,Medium,88100.0,608,0.85
EMP00010,Finance,Senior Manager,L4,Male,Chennai,PhD,57,1.8,27200.0,4.6,4.7,3.9,2,3,1,1,Resignation,2017,75,20,4.3,2.7,0.27,0.461,Medium,43300.0,1149,0.41
EMP00011,Operations,Senior Manager,L6,Non-Binary,Chennai,Master's,48,8.6,131400.0,3.5,3.6,2.2,29,7,0,0,Resignation,2023,0,6,3.0,4.7,0.08,0.452,Medium,221200.0,708,0.63
EMP00012,Sales,Director,L6,Non-Binary,Chennai,MBA,29,4.7,89800.0,3.5,4.8,3.7,19,3,1,0,Contract End,2021,25,0,4.5,2.7,0.03,0.207,Low,151000.0,431,0.83
EMP00013,Engineering,VP,L2,Male,Pune,Diploma,49,2.4,43100.0,4.6,3.1,3.3,4,5,2,1,Transfer,2022,50,6,4.9,3.0,0.13,0.387,Medium,77500.0,803,0.63
EMP00014,Product,Senior Manager,L5,Female,Hyderabad,Master's,34,0.6,72700.0,2.9,3.9,3.2,31,3,3,1,Contract End,2023,75,13,2.5,4.1,0.02,0.467,Medium,128800.0,83,0.77
EMP00015,Customer Success,Individual Contributor,L3,Male,Bangalore,Bachelor's,51,7.0,98500.0,4.0,4.4,2.4,20,3,0,0,Resignation,2021,50,15,4.8,3.7,0.12,0.43,Medium,54400.0,1374,0.71
EMP00016,Engineering,Director,L1,Female,Kolkata,MBA,48,20.0,45500.0,4.7,3.9,3.4,31,0,2,0,Retirement,2022,100,3,2.5,4.1,0.03,0.235,Low,66800.0,997,0.61
EMP00017,Sales,Analyst,L4,Female,Kolkata,Bachelor's,29,0.1,120700.0,3.9,3.7,3.0,11,8,3,0,Resignation,2019,0,1,4.5,1.9,0.14,0.337,Medium,191200.0,48,0.63
EMP00018,Customer Success,Senior Manager,L3,Male,Bangalore,Bachelor's,25,3.9,82000.0,4.2,2.2,2.5,3,6,0,1,Transfer,2022,0,8,3.2,3.9,0.35,0.528,Medium,63400.0,108,0.58
EMP00019,Engineering,Director,L3,Male,Mumbai,Diploma,44,2.1,78100.0,4.4,3.2,3.6,8,6,1,0,Transfer,2022,25,13,3.7,3.5,0.02,0.507,Medium,146900.0,521,0.57
EMP00020,Marketing,Manager,L1,Non-Binary,Noida,MBA,53,1.9,87800.0,4.8,4.3,2.9,31,3,3,0,Contract End,2023,50,12,4.2,3.6,0.39,0.45,Medium,151400.0,376,0.84
EMP00021,Customer Success,Analyst,L3,Female,Mumbai,Bachelor's,29,9.0,33500.0,4.6,3.4,4.6,15,0,1,0,Resignation,2023,100,24,2.8,4.0,0.35,0.431,Medium,40400.0,97,0.82
EMP00022,Product,Director,L6,Male,Pune,MBA,57,8.9,56300.0,4.0,4.5,2.1,11,0,3,1,Contract End,2023,50,6,2.9,4.5,0.19,0.324,Low,73900.0,575,0.67
EMP00023,Marketing,Individual Contributor,L1,Male,Pune,PhD,46,0.3,121900.0,3.1,4.4,4.1,22,3,1,0,Retirement,2018,75,14,3.5,3.8,0.35,0.433,Medium,123800.0,1131,0.64
EMP00024,Customer Success,Manager,L1,Male,Delhi,Master's,30,1.4,51200.0,3.3,3.4,3.5,28,3,1,0,Contract End,2023,50,16,3.2,2.7,0.25,0.448,Medium,95000.0,1164,0.44
EMP00025,Engineering,Individual Contributor,L2,Male,Mumbai,MBA,31,3.8,39900.0,3.7,3.4,4.3,25,8,2,0,Termination,2021,75,19,2.5,3.7,0.08,0.411,Medium,23400.0,1303,0.65
EMP00026,Marketing,Senior Analyst,L6,Male,Kolkata,Master's,35,2.6,100000.0,4.8,1.5,4.1,24,1,0,0,Termination,2023,0,12,3.9,4.0,0.14,0.51,Medium,87900.0,723,0.56
EMP00027,HR,VP,L6,Male,Kolkata,MBA,23,1.1,152000.0,4.1,4.4,4.9,31,4,3,0,Retirement,2015,100,11,4.6,4.9,0.08,0.317,Low,88800.0,568,0.42
EMP00028,Finance,Senior Analyst,L4,Male,Bangalore,MBA,37,2.0,54300.0,4.4,4.2,4.6,10,3,1,0,Resignation,2019,75,4,3.8,1.7,0.27,0.305,Low,58000.0,559,0.59
EMP00029,Sales,Director,L4,Male,Chennai,PhD,50,4.5,122300.0,4.0,4.1,4.6,18,4,2,0,Termination,2019,0,3,3.8,4.1,0.15,0.242,Low,206900.0,222,0.79
EMP00030,Engineering,Senior Analyst,L2,Female,Pune,Master's,23,12.1,45400.0,4.4,3.6,4.0,18,5,3,0,Retirement,2023,100,3,3.3,4.9,0.14,0.266,Low,77300.0,128,0.38
EMP00031,Sales,Individual Contributor,L1,Female,Bangalore,Bachelor's,53,0.2,75600.0,2.9,4.1,3.3,16,4,0,0,Retirement,2017,50,5,3.2,4.1,0.05,0.393,Medium,58600.0,1232,0.53
EMP00032,Sales,VP,L3,Male,Delhi,PhD,23,3.2,38400.0,4.4,3.6,4.9,14,0,0,0,Contract End,2018,100,11,3.7,4.0,0.27,0.367,Medium,31300.0,562,0.46
EMP00033,Sales,Director,L1,Male,Delhi,Bachelor's,29,0.2,86400.0,3.1,3.1,3.4,20,2,0,0,Contract End,2015,50,1,2.8,3.7,0.03,0.405,Medium,100300.0,725,0.75
EMP00034,Sales,Individual Contributor,L3,Female,Chennai,Bachelor's,27,2.3,67100.0,4.8,4.2,4.8,7,8,2,0,Transfer,2015,50,13,3.4,3.7,0.29,0.345,Medium,98200.0,894,0.67
EMP00035,Operations,VP,L5,Male,Noida,Master's,52,2.5,52300.0,2.5,3.9,2.3,13,8,3,1,Contract End,2017,0,23,2.4,4.3,0.19,0.559,Medium,70600.0,27,0.41
EMP00036,Operations,VP,L2,Male,Pune,MBA,54,0.4,94700.0,3.8,4.4,3.2,8,5,3,0,Resignation,2018,0,10,4.0,4.1,0.26,0.386,Medium,143100.0,211,0.59
EMP00037,Product,Senior Analyst,L6,Male,Hyderabad,MBA,44,7.1,34300.0,4.2,3.5,3.5,8,0,3,0,Retirement,2019,50,15,4.5,3.2,0.18,0.486,Medium,42500.0,127,0.6
EMP00038,Marketing,Individual Contributor,L2,Male,Pune,MBA,30,4.0,73100.0,4.3,4.1,4.1,13,6,0,0,Termination,2017,50,24,2.7,2.0,0.36,0.48,Medium,143000.0,1305,0.62
EMP00039,Product,Individual Contributor,L1,Male,Kolkata,PhD,52,0.2,110500.0,3.9,4.7,3.4,23,8,2,0,Contract End,2017,50,13,4.5,3.6,0.3,0.403,Medium,58200.0,1023,0.72
EMP00040,Sales,Senior Manager,L2,Female,Chennai,Diploma,42,0.3,43800.0,4.4,2.5,3.3,9,5,3,0,Contract End,2019,100,12,4.7,2.5,0.02,0.549,Medium,32600.0,262,0.49
EMP00041,Sales,Director,L2,Male,Delhi,Master's,24,2.3,57500.0,4.5,4.8,2.7,29,8,1,0,Retirement,2022,50,20,3.5,3.3,0.28,0.52,Medium,72900.0,880,0.59
EMP00042,Finance,Senior Analyst,L3,Male,Chennai,MBA,35,6.5,59300.0,4.5,4.3,3.2,11,7,1,0,Retirement,2016,50,12,3.0,4.5,0.3,0.364,Medium,101700.0,1088,0.79
EMP00043,Sales,Individual Contributor,L4,Female,Noida,MBA,50,3.9,41900.0,3.1,3.5,4.4,11,1,1,0,Transfer,2016,75,14,3.4,2.2,0.09,0.417,Medium,37300.0,264,0.8
EMP00044,Sales,Senior Manager,L4,Male,Bangalore,Diploma,33,5.1,50700.0,2.6,2.9,3.1,3,0,2,0,Termination,2015,50,14,3.5,3.6,0.19,0.499,Medium,96800.0,1213,0.69
EMP00045,HR,Individual Contributor,L5,Female,Bangalore,MBA,34,3.2,92800.0,3.4,4.3,3.8,31,4,2,1,Contract End,2023,75,9,2.3,3.8,0.22,0.327,Low,184900.0,663,0.5
EMP00046,Sales,Analyst,L4,Male,Chennai,MBA,40,8.4,132700.0,4.2,4.2,3.6,0,1,3,0,Transfer,2017,75,23,2.9,4.2,0.13,0.484,Medium,78100.0,727,0.48
EMP00047,Customer Success,Individual Contributor,L6,Male,Pune,Bachelor's,35,0.4,86400.0,4.2,4.2,2.0,28,2,0,0,Contract End,2022,25,21,4.2,3.6,0.09,0.595,Medium,140100.0,292,0.4
EMP00048,Engineering,Senior Manager,L2,Female,Noida,Bachelor's,55,0.7,117100.0,4.0,3.0,4.9,19,7,1,0,Termination,2023,100,11,3.4,3.5,0.24,0.383,Medium,219300.0,251,0.25
